,precision,recall,f1-score,support
Benign,0.9893009672496514,0.9286233246937945,0.9580023123845469,194069.0
Attack,0.22328137265896603,0.6713876243466532,0.33511466442247,5931.0
accuracy,0.920995,0.920995,0.920995,0.920995
macro avg,0.6062911699543088,0.8000054745202239,0.6465584884035085,200000.0
weighted avg,0.9665846561720646,0.920995,0.9395305791842314,200000.0
