Task,Protocol,Model,Held_Out_Attack,Runs,Accuracy_Mean,Accuracy_SD,Accuracy_CI95_Low,Accuracy_CI95_High,Balanced_Accuracy_Mean,Balanced_Accuracy_SD,Balanced_Accuracy_CI95_Low,Balanced_Accuracy_CI95_High,Precision_Mean,Precision_SD,Precision_CI95_Low,Precision_CI95_High,Attack_Recall_Mean,Attack_Recall_SD,Attack_Recall_CI95_Low,Attack_Recall_CI95_High,Specificity_Mean,Specificity_SD,Specificity_CI95_Low,Specificity_CI95_High,F1_Mean,F1_SD,F1_CI95_Low,F1_CI95_High,MCC_Mean,MCC_SD,MCC_CI95_Low,MCC_CI95_High,FPR_Mean,FPR_SD,FPR_CI95_Low,FPR_CI95_High,FNR_Mean,FNR_SD,FNR_CI95_Low,FNR_CI95_High,TN_Mean,TN_SD,TN_CI95_Low,TN_CI95_High,FP_Mean,FP_SD,FP_CI95_Low,FP_CI95_High,FN_Mean,FN_SD,FN_CI95_Low,FN_CI95_High,TP_Mean,TP_SD,TP_CI95_Low,TP_CI95_High,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_CI95_Low,ROC_AUC_CI95_High,PR_AUC_Mean,PR_AUC_SD,PR_AUC_CI95_Low,PR_AUC_CI95_High,Brier_Mean,Brier_SD,Brier_CI95_Low,Brier_CI95_High,ECE_10_Mean,ECE_10_SD,ECE_10_CI95_Low,ECE_10_CI95_High,Training_Rows_Mean,Training_Rows_SD,Training_Rows_CI95_Low,Training_Rows_CI95_High,Testing_Rows_Mean,Testing_Rows_SD,Testing_Rows_CI95_Low,Testing_Rows_CI95_High,Training_Attacks_Mean,Training_Attacks_SD,Training_Attacks_CI95_Low,Training_Attacks_CI95_High,Testing_Attacks_Mean,Testing_Attacks_SD,Testing_Attacks_CI95_Low,Testing_Attacks_CI95_High,Feature_Count_Mean,Feature_Count_SD,Feature_Count_CI95_Low,Feature_Count_CI95_High,Training_Seconds_Mean,Training_Seconds_SD,Training_Seconds_CI95_Low,Training_Seconds_CI95_High,Inference_Seconds_Mean,Inference_Seconds_SD,Inference_Seconds_CI95_Low,Inference_Seconds_CI95_High,Flows_Per_Second_Mean,Flows_Per_Second_SD,Flows_Per_Second_CI95_Low,Flows_Per_Second_CI95_High
binary,group,decision_tree,,3,0.9991316666666666,9.291573243175312e-05,0.999026522617329,0.9992368107160042,0.9988874974589903,5.74465497999177e-05,0.9988224905682479,0.9989525043497327,0.9962475074447256,0.0005857606163230548,0.9955846569076766,0.9969103579817745,0.9985221513093231,5.432854307577939e-05,0.9984606727753429,0.9985836298433033,0.9992528436086577,0.00011387647062479652,0.9991239802511573,0.9993817069661581,0.9973834724318786,0.000289368516753012,0.9970560211294356,0.9977109237343217,0.9968639048956969,0.00034423380666009223,0.9964743676730557,0.997253442118338,0.0007471563913422999,0.00011387647062474609,0.0006182930338419591,0.0008760197488426408,0.0014778486906768667,5.432854307575257e-05,0.0014163701566967135,0.00153932722465702,166717.66666666666,134.18022705798845,166565.82744585144,166869.50588748188,124.66666666666667,19.087517736293876,103.06710700037306,146.2662263329603,49.0,1.7320508075688772,47.04,50.96,33108.666666666664,149.96777431612878,32938.96215431914,33278.37117901419,0.9989963446652691,6.336793289312927e-05,0.998924637098766,0.9990680522317722,0.9961103598081364,0.000638499206375681,0.9953878299383269,0.996832889677946,0.0008203116442807001,9.378133301706198e-05,0.0007141880756704693,0.0009264352128909309,0.0007692245824346667,0.00010289782967018351,0.0006527847267028136,0.0008856644381665198,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99114.33333333333,111.79147254300452,98987.82937327234,99240.83729339432,33157.666666666664,149.51365600952087,32988.47603755921,33326.85729577412,78.0,0.0,78.0,78.0,22.922717533333223,3.4571530730136995,19.01058054895819,26.83485451770826,0.019741499999630166,0.003567141954402927,0.015704898879110377,0.023778101120149955,10334661.405439496,1691170.4963449806,8420921.832471253,12248400.978407739
binary,group,linear_svm,,3,0.9345833333333333,0.001058127276528368,0.9333859496001699,0.9357807170664968,0.9512699600947722,0.0007936424701042877,0.9503718690950123,0.9521680510945321,0.7247241526528274,0.0041531120138723066,0.7200244639880271,0.7294238413176277,0.9762336555426513,0.0004475212224666576,0.9757272376060633,0.9767400734792393,0.9263062646468933,0.001141040370373032,0.9250150559155107,0.9275974733782758,0.8318805875846375,0.002893730135133284,0.828606023674574,0.8351551514947009,0.805923134766595,0.003069475438871937,0.8024496963236238,0.8093965732095663,0.07369373535310664,0.0011410403703730418,0.07240252662172407,0.0749849440844892,0.023766344457348803,0.0004475212224667559,0.02325992652076067,0.024272762393936935,154547.0,98.50380703302791,154435.5324489668,154658.4675510332,12295.333333333334,199.97583187308743,12069.039376621175,12521.627290045493,788.0,12.12435565298214,774.28,801.72,32369.666666666668,158.33614032599547,32190.492456716933,32548.840876616403,0.9864319982416254,0.0002056803927941172,0.9861992489665379,0.986664747516713,0.9414637452344014,0.0014586197317381189,0.9398131616246633,0.9431143288441394,,,,,,,,,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99114.33333333333,111.79147254300452,98987.82937327234,99240.83729339432,33157.666666666664,149.51365600952087,32988.47603755921,33326.85729577412,78.0,0.0,78.0,78.0,101.60635343333281,50.77085739175861,44.153719796377736,159.05898707028788,0.06417686666645743,0.004472391335148017,0.05911587943757008,0.06923785389534479,3126245.9315166767,212287.3579202029,2886020.171564741,3366471.6914686123
binary,group,logistic_regression,,3,0.8731816666666666,0.001221529096392425,0.8717993763675214,0.8745639569658119,0.9091135505696021,0.0012191091597917006,0.9077339986865106,0.9104931024526935,0.5695172419692082,0.003029439873194386,0.5660891080336944,0.5729453759047219,0.9628705027366262,0.0014612749032675543,0.9612169145174535,0.9645240909557989,0.855356598402578,0.0012236253009795424,0.8539719360246388,0.8567412607805173,0.7157066520285144,0.002778191866418783,0.7125628319775172,0.7188504720795115,0.677492566079458,0.0030144569611146176,0.6740813869050563,0.6809037452538597,0.14464340159742203,0.001223625300979477,0.14325873921948287,0.1460280639753612,0.03712949726337363,0.001461274903267534,0.03547590904420098,0.03878308548254628,142709.66666666666,218.40634911406156,142462.51661633735,142956.81671699596,24132.666666666668,209.46200928410224,23895.63808967412,24369.695243659215,1231.0,43.55456348076513,1181.7133716578894,1280.2866283421106,31926.666666666668,187.71609769365367,31714.24590517874,32139.087428154595,0.9686624621970683,0.0015347517851442122,0.9669257270587355,0.9703991973354011,0.8811270144751479,0.004411713072933392,0.8761346911638667,0.886119337786429,0.08536434670289354,0.0017853108538749243,0.08334407728683273,0.08738461611895436,0.15621943446868405,0.005325843886514156,0.15019267476166395,0.16224619417570416,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99114.33333333333,111.79147254300452,98987.82937327234,99240.83729339432,33157.666666666664,149.51365600952087,32988.47603755921,33326.85729577412,78.0,0.0,78.0,78.0,45.68841863333364,20.040266411487355,23.010722347017722,68.36611491964956,0.03581866666718266,0.003538153498482403,0.03181486907260792,0.0398224642617574,5618257.10325002,525054.4527363338,5024102.057182014,6212412.149318026
binary,group,random_forest,,3,0.9991433333333334,3.785938897202014e-05,0.9991004914016413,0.9991861752650255,0.9984191901804325,4.7570991916483e-05,0.9983653585354548,0.9984730218254101,0.997495806153894,0.00020884668999334588,0.9972594738762275,0.9977321384315605,0.9973358330042323,6.945989700955293e-05,0.997257231731369,0.9974144342770956,0.9995025473566326,3.8851059287378126e-05,0.9994585832443383,0.9995465114689268,0.9974158075609507,0.00012582663768047477,0.9972734213164041,0.9975581938054974,0.9969023785396338,0.00014806745612231284,0.9967348244397589,0.9970699326395087,0.0004974526433674,3.8851059287299094e-05,0.0004534885310732645,0.0005414167556615356,0.002664166995767433,6.945989700958713e-05,0.00258556572290415,0.002742768268630716,166759.33333333334,143.01165453673113,166597.50041153503,166921.16625513165,83.0,6.557438524302,75.57955976148764,90.42044023851236,88.33333333333333,2.081665999466133,85.9777065000302,90.68896016663646,33069.333333333336,150.52685253247455,32898.996164426746,33239.670502239926,0.999956405545964,2.0473123432951667e-05,0.9999332380258467,0.9999795730660813,0.9998351474536521,3.871185287872821e-05,0.9997913408682386,0.9998789540390656,0.0007639431458084334,4.8669244783801164e-05,0.0007088687107171539,0.0008190175808997128,0.001317340802635,0.00016716358283587753,0.0011281774011189676,0.0015065042041510325,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99114.33333333333,111.79147254300452,98987.82937327234,99240.83729339432,33157.666666666664,149.51365600952087,32988.47603755921,33326.85729577412,78.0,0.0,78.0,78.0,58.35749893333377,4.154169145713426,53.65661401124148,63.058383855426065,0.49521893333318684,0.033839702632148055,0.4569257049422104,0.5335121617241633,405088.86074639484,26946.80136778818,374595.68442035076,435582.0370724389
binary,group,xgboost,,3,0.9992566666666667,5.923118547972666e-05,0.9991896402705397,0.9993236930627937,0.9993612453349261,5.7639371846709065e-05,0.9992960202454969,0.9994264704243553,0.996012214817386,0.0005520146502204147,0.9953875514358593,0.9966368781989127,0.9995176151568307,0.00021003091268540712,0.9992799428050356,0.9997552875086257,0.9992048755130217,0.00010840807246820981,0.9990822002305709,0.9993275507954725,0.9977617420078203,0.00018485027072279696,0.9975525642348396,0.997970919780801,0.9973183511264199,0.00021923364626681596,0.9970702649012322,0.9975664373516075,0.0007951244869781668,0.00010840807246822132,0.000672449204527329,0.0009177997694290046,0.00048238484316943334,0.0002100309126852892,0.0002447124913745241,0.0007200571949643426,166709.66666666666,139.729500583568,166551.54785170636,166867.78548162695,132.66666666666666,18.147543451754935,112.13078803654442,153.20254529678888,16.0,7.0,8.078754306718334,23.921245693281666,33141.666666666664,147.8422582800105,32974.36740214015,33308.965931193175,0.9999792184232206,1.1277159856706201e-05,0.9999664571155138,0.9999919797309273,0.9999134055157718,2.6546164145328148e-05,0.9998833657031418,0.9999434453284017,0.0005710458887429999,5.2860392944932315e-05,0.0005112287230343969,0.000630863054451603,0.0006145925673024,9.964615656339e-05,0.0005018323260838537,0.0007273528085209463,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99114.33333333333,111.79147254300452,98987.82937327234,99240.83729339432,33157.666666666664,149.51365600952087,32988.47603755921,33326.85729577412,78.0,0.0,78.0,78.0,10.720312433333069,0.2131182287191566,10.479146454561436,10.961478412104702,0.15204109999952678,0.006221577186142271,0.14500072264364836,0.1590814773554052,1316902.2705369059,53844.548139092745,1255971.428386408,1377833.1126874038
binary,random,decision_tree,,3,0.9988116666666667,0.0001588500340992332,0.9986319109311687,0.9989914224021647,0.9984806404945182,0.00015482538234047678,0.9983054390812218,0.9986558419078146,0.9948502694763764,0.0008056022026022538,0.9939386447652534,0.9957618941874995,0.9979858404584228,0.00014903419626926235,0.9978171923890871,0.9981544885277585,0.9989754405306138,0.00016088245824892342,0.9987933848906811,0.9991574961705465,0.9964155156269379,0.00047807440148860434,0.9958745235135293,0.9969565077403464,0.9957051152084796,0.0005726246750087798,0.9950571293883681,0.9963531010285911,0.001024559469385967,0.00016088245824888962,0.000842503829453312,0.0012066151093186217,0.0020141595415772333,0.00014903419626923118,0.001845511472241613,0.0021828076109128534,166730.0,26.851443164195103,166699.6147316396,166760.3852683604,171.0,26.851443164195103,140.61473163960315,201.38526836039685,66.66666666666667,4.932882862316247,61.08458421972588,72.24874911360746,33032.333333333336,4.932882862316247,33026.751250886395,33037.91541578028,0.9986015557772167,0.00013150869443244228,0.9984527396801592,0.9987503718742741,0.9943914534173133,0.0007204242417092556,0.9935762166427454,0.9952066901918811,0.0011469212201533335,0.0001387750455798039,0.0009898824727056208,0.001303959967601046,0.0010227326817625667,0.00011976320594200233,0.0008872078561508966,0.0011582575073742368,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99297.0,0.0,99297.0,99297.0,33099.0,0.0,33099.0,33099.0,78.0,0.0,78.0,78.0,20.35824500000005,3.4274721933479984,16.47969509279998,24.23679490720012,0.019577600000047768,0.0014451122735223841,0.017942301518198103,0.021212898481897433,10251585.094701612,728171.831638764,9427581.096796244,11075589.09260698
binary,random,linear_svm,,3,0.9346399999999999,0.00042008927622592674,0.934164624232843,0.9351153757671569,0.9512233958213638,0.00041201876421268635,0.9507571526982823,0.9516896389444454,0.7246048124923007,0.0012705393437672584,0.7231670618773062,0.7260425631072952,0.9760113598598146,0.0005267710738741828,0.9754152622740615,0.9766074574455677,0.9264354317829132,0.00045072423280525636,0.925925389298918,0.9269454742669084,0.8317247098752406,0.0009450324185283003,0.8306553050216293,0.8327941147288519,0.8057956900073022,0.001086138677998942,0.8045666083893871,0.8070247716252174,0.07356456821708673,0.00045072423280522107,0.07305452573309158,0.07407461070108189,0.023988640140185466,0.0005267710738742022,0.023392542554432412,0.02458473772593852,154623.0,75.22632517942107,154537.87339937873,154708.12660062127,12278.0,75.22632517942107,12192.87339937873,12363.12660062127,794.0,17.435595774162696,774.2697660091591,813.7302339908409,32305.0,17.435595774162696,32285.269766009158,32324.730233990842,0.986347399158101,0.00016354763091043332,0.9861623275913873,0.9865324707248146,0.9412068062429116,0.0012108476402172394,0.9398366031492986,0.9425770093365247,,,,,,,,,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99297.0,0.0,99297.0,99297.0,33099.0,0.0,33099.0,33099.0,78.0,0.0,78.0,78.0,81.50532900000023,30.629606314651593,46.84466655616497,116.1659914438355,0.07363303333355964,0.015776074067053676,0.05578072493919657,0.0914853417279227,2792365.4310331256,533577.6608652828,2188565.4670102075,3396165.3950560438
binary,random,logistic_regression,,3,0.8749783333333333,0.0008460841171735021,0.8740208990234312,0.8759357676432354,0.9101036711047973,0.0005868586960234509,0.9094395779735914,0.9107677642360031,0.5727609159474939,0.0017522272686000407,0.570778084132487,0.5747437477625008,0.9626071281106175,0.0009367466049716879,0.9615470995377136,0.9636671566835215,0.8576002140989769,0.0010561558156954804,0.8564050612837609,0.8587953669141929,0.7181897018725568,0.0013547290213279648,0.7166566816688771,0.7197227220762366,0.6802580368546675,0.0014718336316366521,0.678592500309549,0.6819235733997859,0.1423997859010231,0.001056155815695537,0.141204633085807,0.14359493871623918,0.0373928718893823,0.0009367466049716638,0.0363328433164783,0.0384529004622863,143134.33333333334,176.27346179539714,142934.86113332096,143333.80553334573,23766.666666666668,176.27346179539714,23567.19446665429,23966.138866679044,1237.6666666666667,31.00537587795596,1202.5807809321184,1272.752552401215,31861.333333333332,31.005375877955963,31826.247447598784,31896.41921906788,0.970654355779273,0.0020141934631275615,0.968375081308525,0.9729336302500209,0.8875400997060625,0.006972243834715324,0.8796502630705985,0.8954299363415266,0.08369591335455569,0.0008689653222940733,0.08271258652357953,0.08467924018553184,0.1522424598009822,0.0013120254695607686,0.15075776321523446,0.15372715638672993,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99297.0,0.0,99297.0,99297.0,33099.0,0.0,33099.0,33099.0,78.0,0.0,78.0,78.0,39.797539866667044,2.1046955033887094,37.41585269639746,42.17922703693663,0.0383188333338087,0.005873557865606976,0.031672276912783,0.0449653897548344,5303334.998753405,824908.3991077032,4369863.2696414385,6236806.727865372
binary,random,random_forest,,3,0.9988783333333333,5.0332229568470535e-05,0.9988213770538044,0.9989352896128623,0.9981814928915705,0.00026753985896962033,0.9978787430407642,0.9984842427423769,0.9960868624260287,0.0004147142657519196,0.9956175690558102,0.9965561557962472,0.9971398934509602,0.0006075120550209776,0.9964524288438957,0.9978273580580247,0.9992230923321809,8.309374644336138e-05,0.9991290629063019,0.9993171217580599,0.9966129345601833,0.00015310961529388972,0.9964396747200767,0.9967861944002899,0.9959411288522465,0.00018337907055876798,0.9957336158989748,0.9961486418055182,0.0007769076678190333,8.30937464433619e-05,0.0006828782419400164,0.0008709370936980503,0.0028601065490397003,0.0006075120550210245,0.002172641941975131,0.0035475711561042695,166771.33333333334,13.868429375143146,166755.63972812472,166787.02693854197,129.66666666666666,13.868429375143148,113.97306145803329,145.36027187530004,94.66666666666667,20.108041509140897,71.9122756374365,117.42105769589685,33004.333333333336,20.108041509140897,32981.578942304106,33027.087724362565,0.9999430421359911,1.1332690077843717e-05,0.9999302179899235,0.9999558662820586,0.9997224842684777,7.38426425036086e-05,0.9996389234522045,0.9998060450847508,0.0010066240461394998,5.742378533505865e-05,0.0009416429158141764,0.0010716051764648232,0.0015459700669592333,0.00016728604042957418,0.001356668091630818,0.0017352720422876486,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99297.0,0.0,99297.0,99297.0,33099.0,0.0,33099.0,33099.0,78.0,0.0,78.0,78.0,58.62648923333351,4.64300113281041,53.37243884373689,63.88053962293013,0.5088030333336064,0.030512499226825605,0.4742748900347846,0.5433311766324282,393998.5147111519,22994.15562038718,367978.17811420327,420018.8513081005
binary,random,xgboost,,3,0.9989500000000001,7.858116822751474e-05,0.9988610770370865,0.9990389229629137,0.9991730811952276,5.825305465540354e-05,0.9991071616583262,0.999239000732129,0.9941801778929124,0.0004495951762612713,0.9936714130566724,0.9946889427291523,0.9995065309123135,4.615019280508488e-05,0.9994543070528846,0.9995587547717423,0.9988396314781417,9.013953658273914e-05,0.9987376289901487,0.9989416339661347,0.9968362078761864,0.00023610808441582251,0.9965690264266396,0.9971033893257333,0.9962118954100575,0.00028242512388101297,0.9958923012963122,0.9965314895238028,0.0011603685218582,9.013953658274743e-05,0.0010583660338652724,0.0012623710098511277,0.0004934690876863667,4.6150192804984974e-05,0.00044124522825770874,0.0005456929471150246,166707.33333333334,15.044378795195676,166690.30901608485,166724.35765058183,193.66666666666666,15.044378795195676,176.64234941816068,210.69098391517264,16.333333333333332,1.5275252316519465,14.604775810104467,18.061890856562197,33082.666666666664,1.5275252316519468,33080.93810914343,33084.395224189895,0.9999734776059035,3.25968388419021e-06,0.9999697889263421,0.9999771662854648,0.9998668252283346,1.8454896450685907e-05,0.9998459415470446,0.9998877089096245,0.0008345100213772999,7.795861064044914e-05,0.0007462915486930313,0.0009227284940615685,0.0008248697972395667,8.318422559639926e-05,0.0007307379845603597,0.0009190016099187736,600000.0,0.0,600000.0,600000.0,200000.0,0.0,200000.0,200000.0,99297.0,0.0,99297.0,99297.0,33099.0,0.0,33099.0,33099.0,78.0,0.0,78.0,78.0,11.562755066666492,1.6311606479402714,9.716923029874005,13.408587103458979,0.15799086666659906,0.011838349000800255,0.14459451366114845,0.17138721967204967,1270851.1438095896,99208.86664498193,1158585.7427171727,1383116.5449020064
