,precision,recall,f1-score,support
Benign,0.9965787852255408,0.9249603708088369,0.9594349194786274,199348.0
Attack,0.0012685271731873414,0.029141104294478526,0.002431222008957134,652.0
accuracy,0.92204,0.92204,0.92204,0.92204
macro avg,0.4989236561993641,0.4770507375516577,0.48093307074379227,200000.0
weighted avg,0.9933340737842901,0.92204,0.9563150874248763,200000.0
