Protocol,Model,Held_Out_Attack,Runs,Accuracy_Mean,Balanced_Accuracy_Mean,Attack_Recall_Mean,F1_Mean,MCC_Mean,PR_AUC_Mean,FPR_Mean,FNR_Mean
temporal,linear_svm,,1,0.8357996011626576,0.7820875769488396,0.5971175297266106,0.7207122722735898,0.6384164012247903,0.7430312983462456,0.0329423758289315,0.4028824702733894
temporal,xgboost,,1,0.6713767304043347,0.5369592621338712,0.0740609480710076,0.13787503277704,0.2207230625593032,0.7731048593307676,0.0001424238032652,0.9259390519289924
temporal_novel,linear_svm,,1,0.8320543123126566,0.7838846930328592,0.5971175297266106,0.7251563633755177,0.6422036869672437,0.753068666206627,0.0293481436608921,0.4028824702733894
temporal_novel,xgboost,,1,0.6563434609769337,0.5369567619201806,0.0740609480710076,0.1378761990154116,0.2180617287654216,0.7803036641500333,0.0001474242306465,0.9259390519289924
