,precision,recall,f1-score,support
Benign,0.9999946079145031,0.9273310032051763,0.9622930319681615,199989.0
Attack,0.000687616035205941,0.9090909090909091,0.001374192661811186,11.0
accuracy,0.92733,0.92733,0.92733,0.92733
macro avg,0.5003411119748545,0.9182109561480427,0.48183361231498634,200000.0
weighted avg,0.9999396460299498,0.92733,0.9622401814319996,200000.0
