,precision,recall,f1-score,support
Benign,0.6035206067928581,0.9991804303435247,0.7525121225277628,71989.0
Attack,0.9992699465452386,0.630859847981814,0.7734344696806448,128011.0
accuracy,0.763435,0.763435,0.763435,0.763435
macro avg,0.8013952766690484,0.8150201391626694,0.7629732961042037,200000.0
weighted avg,0.8568219504480681,0.763435,0.7659035754347008,200000.0
