Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.95625,0.8787089013632718,0.8610156173263923,0.8697722875427891
Decision Tree,0.9982333333333333,0.993920972644377,0.9956782241430114,0.9947988223748774
Random Forest,0.9984833333333333,0.9957743710691824,0.9952853354287398,0.9955297931915311
SVM,0.9535333333333333,0.8744808023503191,0.8478538453982909,0.8609615000997407
XGBoost,0.9986666666666667,0.9953898970083375,0.9967586681072587,0.9960738123282293
