,precision,recall,f1-score,support
Benign,0.9725887931654577,0.9265067099589918,0.9489886542474362,189718.0
Attack,0.2764776088423019,0.5181871231277961,0.36057253070754236,10282.0
accuracy,0.905515,0.905515,0.905515,0.905515
macro avg,0.6245332010038798,0.722346916543394,0.6547805924774892,200000.0
weighted avg,0.9368017171794042,0.905515,0.9187381813362502,200000.0
