,precision,recall,f1-score,support
Benign,0.9839861122923222,0.9995273933967203,0.9916958681019488,196781.0
Attack,0.16216216216216217,0.005591798695246971,0.010810810810810811,3219.0
accuracy,0.98353,0.98353,0.98353,0.98353
macro avg,0.5730741372272422,0.5025595960459837,0.5012533394563798,200000.0
weighted avg,0.9707588558149773,0.98353,0.9759085231048479,200000.0
