,precision,recall,f1-score,support
Benign,0.9999499714837458,0.9994849459193216,0.9997174046240607,199979.0
Attack,0.09649122807017543,0.5238095238095238,0.16296296296296298,21.0
accuracy,0.999435,0.999435,0.999435,0.999435
macro avg,0.5482205997769606,0.7616472348644228,0.5813401837935118,200000.0
weighted avg,0.9998551083156872,0.999435,0.9996295454076862,200000.0
