,precision,recall,f1-score,support
Benign,0.7471742349457058,0.9627238832666883,0.8413629716088109,125791.0
Attack,0.8763449367088607,0.44780282715034564,0.5927280186214092,74209.0
accuracy,0.771665,0.771665,0.771665,0.771665
macro avg,0.8117595858272832,0.705263355208517,0.7170454951151101,200000.0
weighted avg,0.7951023779814156,0.771665,0.7491082154776004,200000.0
