,precision,recall,f1-score,support
Benign,0.6018773372597903,0.9993610134881719,0.7512844611528822,71989.0
Attack,0.9994283512905591,0.6282506972057089,0.7715176515732924,128011.0
accuracy,0.76183,0.76183,0.76183,0.76183
macro avg,0.8006528442751747,0.8138058553469404,0.7614010563630873,200000.0
weighted avg,0.856331851545254,0.76183,0.7642348158474179,200000.0
