,precision,recall,f1-score,support
Benign,0.9911196589504673,0.8547263919908508,0.9178838394392914,167009.0
Attack,0.5665487547790046,0.961231851110909,0.7129095711796773,32991.0
accuracy,0.872295,0.872295,0.872295,0.872295
macro avg,0.7788342068647359,0.9079791215508799,0.8153967053094844,200000.0
weighted avg,0.9210845654528638,0.872295,0.8840723090185267,200000.0
