,precision,recall,f1-score,support
Benign,0.9840734363738288,0.9991310136649372,0.9915450623214389,196781.0
Attack,0.1778846153846154,0.011494252873563218,0.02159323023052232,3219.0
accuracy,0.983235,0.983235,0.983235,0.983235
macro avg,0.5809790258792221,0.5053126332692502,0.5065691462759806,200000.0
weighted avg,0.9710978273000074,0.983235,0.9759336875839357,200000.0
