Task,Protocol,Model,Held_Out_Attack,Runs,Accuracy_Mean,Accuracy_SD,Accuracy_CI95_Low,Accuracy_CI95_High,Balanced_Accuracy_Mean,Balanced_Accuracy_SD,Balanced_Accuracy_CI95_Low,Balanced_Accuracy_CI95_High,Precision_Mean,Precision_SD,Precision_CI95_Low,Precision_CI95_High,Attack_Recall_Mean,Attack_Recall_SD,Attack_Recall_CI95_Low,Attack_Recall_CI95_High,Specificity_Mean,Specificity_SD,Specificity_CI95_Low,Specificity_CI95_High,F1_Mean,F1_SD,F1_CI95_Low,F1_CI95_High,MCC_Mean,MCC_SD,MCC_CI95_Low,MCC_CI95_High,FPR_Mean,FPR_SD,FPR_CI95_Low,FPR_CI95_High,FNR_Mean,FNR_SD,FNR_CI95_Low,FNR_CI95_High,TN_Mean,TN_SD,TN_CI95_Low,TN_CI95_High,FP_Mean,FP_SD,FP_CI95_Low,FP_CI95_High,FN_Mean,FN_SD,FN_CI95_Low,FN_CI95_High,TP_Mean,TP_SD,TP_CI95_Low,TP_CI95_High,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_CI95_Low,ROC_AUC_CI95_High,PR_AUC_Mean,PR_AUC_SD,PR_AUC_CI95_Low,PR_AUC_CI95_High,Training_Rows_Mean,Training_Rows_SD,Training_Rows_CI95_Low,Training_Rows_CI95_High,Testing_Rows_Mean,Testing_Rows_SD,Testing_Rows_CI95_Low,Testing_Rows_CI95_High,Training_Attacks_Mean,Training_Attacks_SD,Training_Attacks_CI95_Low,Training_Attacks_CI95_High,Testing_Attacks_Mean,Testing_Attacks_SD,Testing_Attacks_CI95_Low,Testing_Attacks_CI95_High,Feature_Count_Mean,Feature_Count_SD,Feature_Count_CI95_Low,Feature_Count_CI95_High,Training_Seconds_Mean,Training_Seconds_SD,Training_Seconds_CI95_Low,Training_Seconds_CI95_High,Inference_Seconds_Mean,Inference_Seconds_SD,Inference_Seconds_CI95_Low,Inference_Seconds_CI95_High,Flows_Per_Second_Mean,Flows_Per_Second_SD,Flows_Per_Second_CI95_Low,Flows_Per_Second_CI95_High,Brier_Mean,Brier_SD,Brier_CI95_Low,Brier_CI95_High,ECE_10_Mean,ECE_10_SD,ECE_10_CI95_Low,ECE_10_CI95_High
binary,temporal,linear_svm,,1,0.8357996011626576,0.0,0.8357996011626576,0.8357996011626576,0.7820875769488396,0.0,0.7820875769488396,0.7820875769488396,0.9088262345871108,0.0,0.9088262345871108,0.9088262345871108,0.5971175297266106,0.0,0.5971175297266106,0.5971175297266106,0.9670576241710684,0.0,0.9670576241710684,0.9670576241710684,0.7207122722735898,0.0,0.7207122722735898,0.7207122722735898,0.6384164012247903,0.0,0.6384164012247903,0.6384164012247903,0.0329423758289315,0.0,0.0329423758289315,0.0329423758289315,0.4028824702733894,0.0,0.4028824702733894,0.4028824702733894,387030.0,0.0,387030.0,387030.0,13184.0,0.0,13184.0,13184.0,88670.0,0.0,88670.0,88670.0,131419.0,0.0,131419.0,131419.0,0.696057478438318,0.0,0.696057478438318,0.696057478438318,0.7430312983462456,0.0,0.7430312983462456,0.7430312983462456,1950670.0,0.0,1950670.0,1950670.0,620303.0,0.0,620303.0,620303.0,204919.0,0.0,204919.0,204919.0,220089.0,0.0,220089.0,220089.0,78.0,0.0,78.0,78.0,1578.0604172999992,0.0,1578.0604172999992,1578.0604172999992,0.3308723999980429,0.0,0.3308723999980429,0.3308723999980429,1874749.9035993,0.0,1874749.9035993,1874749.9035993,,,,,,,,
binary,temporal,xgboost,,1,0.6713767304043347,0.0,0.6713767304043347,0.6713767304043347,0.5369592621338712,0.0,0.5369592621338712,0.5369592621338712,0.9965152534083268,0.0,0.9965152534083268,0.9965152534083268,0.0740609480710076,0.0,0.0740609480710076,0.0740609480710076,0.9998575761967348,0.0,0.9998575761967348,0.9998575761967348,0.13787503277704,0.0,0.13787503277704,0.13787503277704,0.2207230625593032,0.0,0.2207230625593032,0.2207230625593032,0.0001424238032652,0.0,0.0001424238032652,0.0001424238032652,0.9259390519289924,0.0,0.9259390519289924,0.9259390519289924,400157.0,0.0,400157.0,400157.0,57.0,0.0,57.0,57.0,203789.0,0.0,203789.0,203789.0,16300.0,0.0,16300.0,16300.0,0.7588576627186747,0.0,0.7588576627186747,0.7588576627186747,0.7731048593307676,0.0,0.7731048593307676,0.7731048593307676,1950670.0,0.0,1950670.0,1950670.0,620303.0,0.0,620303.0,620303.0,204919.0,0.0,204919.0,204919.0,220089.0,0.0,220089.0,220089.0,78.0,0.0,78.0,78.0,32.554319200000464,0.0,32.554319200000464,32.554319200000464,0.4290712999973038,0.0,0.4290712999973038,0.4290712999973038,1445687.4650061603,0.0,1445687.4650061603,1445687.4650061603,0.29163458943367,0.0,0.29163458943367,0.29163458943367,0.3121695065878189,0.0,0.3121695065878189,0.3121695065878189
binary,temporal_novel,linear_svm,,1,0.8320543123126566,0.0,0.8320543123126566,0.8320543123126566,0.7838846930328592,0.0,0.7838846930328592,0.7838846930328592,0.9230936727354462,0.0,0.9230936727354462,0.9230936727354462,0.5971175297266106,0.0,0.5971175297266106,0.5971175297266106,0.970651856339108,0.0,0.970651856339108,0.970651856339108,0.7251563633755177,0.0,0.7251563633755177,0.7251563633755177,0.6422036869672437,0.0,0.6422036869672437,0.6422036869672437,0.0293481436608921,0.0,0.0293481436608921,0.0293481436608921,0.4028824702733894,0.0,0.4028824702733894,0.4028824702733894,362124.0,0.0,362124.0,362124.0,10949.0,0.0,10949.0,10949.0,88670.0,0.0,88670.0,88670.0,131419.0,0.0,131419.0,131419.0,0.7025486181727552,0.0,0.7025486181727552,0.7025486181727552,0.753068666206627,0.0,0.753068666206627,0.753068666206627,1950670.0,0.0,1950670.0,1950670.0,593162.0,0.0,593162.0,593162.0,204919.0,0.0,204919.0,204919.0,220089.0,0.0,220089.0,220089.0,78.0,0.0,78.0,78.0,1524.8498763000025,0.0,1524.8498763000025,1524.8498763000025,0.2660681000015756,0.0,0.2660681000015756,0.2660681000015756,2229361.580724962,0.0,2229361.580724962,2229361.580724962,,,,,,,,
binary,temporal_novel,xgboost,,1,0.6563434609769337,0.0,0.6563434609769337,0.6563434609769337,0.5369567619201806,0.0,0.5369567619201806,0.5369567619201806,0.996637114032406,0.0,0.996637114032406,0.996637114032406,0.0740609480710076,0.0,0.0740609480710076,0.0740609480710076,0.9998525757693536,0.0,0.9998525757693536,0.9998525757693536,0.1378761990154116,0.0,0.1378761990154116,0.1378761990154116,0.2180617287654216,0.0,0.2180617287654216,0.2180617287654216,0.0001474242306465,0.0,0.0001474242306465,0.0001474242306465,0.9259390519289924,0.0,0.9259390519289924,0.9259390519289924,373018.0,0.0,373018.0,373018.0,55.0,0.0,55.0,55.0,203789.0,0.0,203789.0,203789.0,16300.0,0.0,16300.0,16300.0,0.7589024656064136,0.0,0.7589024656064136,0.7589024656064136,0.7803036641500333,0.0,0.7803036641500333,0.7803036641500333,1950670.0,0.0,1950670.0,1950670.0,593162.0,0.0,593162.0,593162.0,204919.0,0.0,204919.0,204919.0,220089.0,0.0,220089.0,220089.0,78.0,0.0,78.0,78.0,29.810061799998948,0.0,29.810061799998948,29.810061799998948,0.424021899998479,0.0,0.424021899998479,0.424021899998479,1398894.7269047368,0.0,1398894.7269047368,1398894.7269047368,0.3049761354923248,0.0,0.3049761354923248,0.3049761354923248,0.3264613420082928,0.0,0.3264613420082928,0.3264613420082928
