Accuracy,Balanced_Accuracy,Precision,Attack_Recall,Specificity,F1,MCC,FPR,FNR,TN,FP,FN,TP,ROC_AUC,PR_AUC,Brier,ECE_10,Run_ID,Task,Protocol,Model,Seed,Held_Out_Attack,Training_Rows,Testing_Rows,Training_Attacks,Testing_Attacks,Feature_Count,Training_Seconds,Inference_Seconds,Flows_Per_Second
0.6713767304043347,0.5369592621338712,0.9965152534083268,0.0740609480710076,0.9998575761967348,0.13787503277704,0.2207230625593032,0.0001424238032652,0.9259390519289924,400157,57,203789,16300,0.7588576627186747,0.7731048593307676,0.29163458943367,0.3121695065878189,temporal_xgboost_42,binary,temporal,xgboost,42,,1950670,620303,204919,220089,78,32.554319200000464,0.4290712999973038,1445687.4650061603
0.8357996011626576,0.7820875769488396,0.9088262345871108,0.5971175297266106,0.9670576241710684,0.7207122722735898,0.6384164012247903,0.0329423758289315,0.4028824702733894,387030,13184,88670,131419,0.696057478438318,0.7430312983462456,,,temporal_linear_svm_42,binary,temporal,linear_svm,42,,1950670,620303,204919,220089,78,1578.0604172999992,0.3308723999980429,1874749.9035993
0.6563434609769337,0.5369567619201806,0.996637114032406,0.0740609480710076,0.9998525757693536,0.1378761990154116,0.2180617287654216,0.0001474242306465,0.9259390519289924,373018,55,203789,16300,0.7589024656064136,0.7803036641500333,0.3049761354923248,0.3264613420082928,temporal_novel_xgboost_42,binary,temporal_novel,xgboost,42,,1950670,593162,204919,220089,78,29.810061799998948,0.424021899998479,1398894.7269047368
0.8320543123126566,0.7838846930328592,0.9230936727354462,0.5971175297266106,0.9706518563391079,0.7251563633755177,0.6422036869672437,0.029348143660892105,0.4028824702733894,362124,10949,88670,131419,0.7025486181727552,0.753068666206627,,,temporal_novel_linear_svm_42,binary,temporal_novel,linear_svm,42,,1950670,593162,204919,220089,78,1524.8498763000025,0.26606810000157566,2229361.580724962
