Experiment,Model,Accuracy,Precision,Recall,F1-score,Training Time (s),Training Samples,Testing Samples,Macro Precision,Macro Recall,Macro F1-score,Weighted F1-score,Number of Classes
random_split_binary_xgboost,XGBoost,0.9987833333333334,0.9934856684706354,0.9991936296744279,0.9963314739434143,2.826727867126465,240000,60000,,,,,
time_based_binary_xgboost,XGBoost,0.77616,0.998468606431853,0.3683199638458931,0.5381313965004952,3.3093929290771484,300000,100000,,,,,
multiclass_random_split_xgboost,XGBoost,0.9987999799996666,,,,27.21827220916748,239994,59999,0.9367910537986095,0.9056260099963147,0.9161414255780059,0.9987587239327257,12.0
