,precision,recall,f1-score,support
Benign,0.9998400703690377,0.9987020507597996,0.9992707365560783,50079.0
Attack,0.9934856684706354,0.9991936296744279,0.9963314739434143,9921.0
accuracy,0.9987833333333334,0.9987833333333334,0.9987833333333334,0.9987833333333334
macro avg,0.9966628694198365,0.9989478402171137,0.9978011052497463,60000.0
weighted avg,0.9987893700151368,0.9987833333333334,0.9987847294830744,60000.0
