,precision,recall,f1-score,support
Benign,0.9815197807863651,0.8609926771385449,0.9173141164814103,196781.0
Attack,0.0010590512361684256,0.009009009009009009,0.0018953009607215214,3219.0
accuracy,0.84728,0.84728,0.84728,0.84728
macro avg,0.4912894160112668,0.43500084307377695,0.4596047087210659,200000.0
weighted avg,0.9657392653442547,0.84728,0.9025804506456048,200000.0
